video_id,video_title,comment_id,author,comment,likes,published_at,scrape_date
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,Ugw_M1C1RL9v6RNryZV4AaABAg,@Supriyadi-p5x,Sulit dipaham,0,8 days ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,UgzuQSK8NIfJzFrZhVR4AaABAg,@ZaenuriDepok,Assalamualaikum pak dr .ruly saya ingin mengikuti program puasa dan pola makan yang telah  dr kemukan tapi saya tidak tahu bagaimanana caranya  saya perama kali saya cek gula darah 4 tahun yang lalu 390  getapi setelah itu terkontrol sampai sekarang gimana caranya untuk mengikuti program ini dok trmskasih ilmunya,0,2 weeks ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,Ugz5wx0E5UMEOWCzHSp4AaABAg,@PakTua-o7y,"Terimakasih dokter Rulyinfo yg sangat bermanfaat ;utk anak kami yg mengidap deabsts ,semoga Dokter sehat ,AAMIN",0,3 weeks ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,UgyeZFgvjlKbyTKKLI14AaABAg,@kanemsuryatmi,Pemerhati Dok!! Trm ksh masukannya.,0,1 month ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,Ugwp3gG_3nn9V8LAJuZ4AaABAg,@suprajitomutaqim5828,Dok mau tanya apa  orang yg kena diabetes bisa panjang umur nya,0,1 month ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,UgzYu2u0vGr60XZGSfN4AaABAg,@adityamuhammad1009,Dokter Ruly Semoga panjang umur..amin ya rob Sangat membantu saya yg sdh didiagnosa diabet,0,2 months ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,UgwM-TQqe9KmnA19ETd4AaABAg,@AgustinaRara-n3e,Terima kasih dok infonya sangat bermanfaat,0,2 months ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,Ugw77ItEmsyj1IRbnXx4AaABAg,@ajsndjdmdjdds6778,Terimakasih atas ilmu dan penjelasannya 🙏,0,2 months ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,UgzI7z-K_espmsBs5P94AaABAg,@IbuAmina-e9j,Terimakasih dok salam sehat,0,2 months ago,2025-05-21
v_Eu-EFQ8d4,Diet Ampuh Menurunkan Resistensi Insulin,Ugw3Qr4UEZCSzy8uKHl4AaABAg,@SuriyatiSuriyati-s3c,Dok mintak no wa buat kunsultan,0,2 months ago,2025-05-21
