video_id,video_title,comment_id,author,comment,likes,published_at,scrape_date
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugx_hlrSBgoLSJfKnYN4AaABAg,@RafliDiansyah-h1q3g,BU dr,0,8 days ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugy72nmqZrxfoFGutnF4AaABAg,@WasisKusuma,Ap bolh dok diminm tiap hari,0,1 month ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugw7z-W4GgqG8em30kV4AaABAg,@Ellyasrosa-q2i,Daya dari Mamuju  bertanya bagaimana cara nya  mengobati  gula darah dari Herbal  oke,0,1 month ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzJZgwpCSyJdc3f7fx4AaABAg,@AbuBakar-gu9yr,TRIMS. MHN. JAWABAN.,0,1 month ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxgI7Vl53m2yvm0cSt4AaABAg,@AbuBakar-gu9yr,MHN TANYA PA DOKTER BL KENCINGNYA MAMPET ATAU KENCINGNYA SANGAT LANCAR BSA 7 KALI BGMN SOLOSINYA DGN. OBAT HERBAL.,0,1 month ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzTqN94__WzOe9qD7J4AaABAg,@srihariyanti6392,Di sayur bisa dok,0,2 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugx3h1SCBON13XLe3Y14AaABAg,@AstriYuniar-r9o,gimnana dok kan dh tsu kena gula msh d tambh madu 😢😢,0,4 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugxgna7VvDGAhPNyPGx4AaABAg,@dedygento-sm7qy,Sholawat Burdah penyembuh segala penyakit,3,5 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgyodsSK-7KbT9kcjlt4AaABAg,@MayangSari-u3b,Sy masih menyusui bisa gk minum itu dok,0,7 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgyAxZrouTlPcqX_yKl4AaABAg,@aiii5546,"Ibuku bingung bapaku mau dikasih makan apa soalnya gula darahnya 500 ,dikasih telur rebus+ ubi rebus gak dimakan malah maunya bubur sumsum sama pisang, gimana kira² dok apakah aman?",0,7 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugzk77OHEfXdpglTQ0t4AaABAg,@leonardobt5094,"Jogya, 74 thn.",0,8 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzcI1t8WiQ3MPtXWNN4AaABAg,@RinaHerlina-t9c,Aku mah minum daun kirinyuh boleh kan,0,8 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxlH-3IDNrNw7iqK3l4AaABAg,@SyamsiahAnsie,Maaf dokter 20 gram satu kali rebus dan satu kali pake,0,8 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugwxi189EnBIyl7vyZN4AaABAg,@SuhendiTopik,Dok saya punya lambung dan darah rendah jg gula darah gimana boleh ga minum rebusan kayu manis dan sy pipis Mulu gimana caranya dok,6,8 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxS8cKkT9N7OM1b6cd4AaABAg,@Nmryt-z4j,BEDA KOMENTAR DENGAN dr AHLI KESEHATAN DAN dr AHLI PENYAKIT DALAM. MANA YG BENARRR,0,9 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxnbSejbS_VmwMmb0d4AaABAg,@yohansaputra603,Alhamdulillah sy dan suami minum kayu manis dan air ketumbar,1,10 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwDiXhZ1Mv_gyqBdvZ4AaABAg,@nurohmahspdnurohmahspd1269,Kayu manis itu sdh manis Lo jadi gk usah dikasih gula,0,10 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwxJO6ysjfKynnUNDJ4AaABAg,@girlss_7662,😊😊😊,0,10 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugz5vMT_MxNeyMUL3Oh4AaABAg,@girlss_7662,Bu,0,10 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugy9saSLNwchtd_nqr94AaABAg,@girlss_7662,Selamat   Bu Bukan   Se            Kok Bu Bu,0,10 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxYIyEWG5iJd1dewXV4AaABAg,@Ramawijaya-ce7ex,Asslmkm dokter apkh minum kayu manis menyebabkan tangan jadi kesemutan mohon dijawab,1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzKLGh5CwU42yT3rvh4AaABAg,@PedroPedro-kd1oy,Apakah penderita diabetes kakinya luka apa tidak🙏,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwCxkOWlHOs4G6exNN4AaABAg,@mahmudiskandar8870,Terima kasih dok,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwPH4RLfeNHKww39ah4AaABAg,@AzmiLestari-g6u,"Maaf mau tanya...... untuk air rebusan  200 ml  dan kayu  manis 20 gr  , itu di gunakan untuk sekali  minum atau  2 kali  minum  ( pagi  dan sore )",1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugwez1RFL9svQr_x1X14AaABAg,@KartinaWati-yp7bt,Orang yang kena diabetes boleh g  mkn  alpukat dok,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugy8Dq6X1amEb_JAn9J4AaABAg,@sihardogultom6587,Hostnya terlalu banyak bicara.,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxQaN5V3qoLwNi4QGl4AaABAg,@RosmawatiRosmawati-r8w,Rebusan kyu manis rasanya sdah muuuanis.,3,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgybRfxSFM3scy706dh4AaABAg,@nikenayurahmawati8919,Apaboleh mengkonsumsi kayumanis sebanyak itu dok setiap hari ? Untuk hati apakah tidak terganggu?,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugwr8J0TwaM1SQ-Km1x4AaABAg,@henysuryati3264,Semoga selalu sehat dan panjang umur  Dokter aamiin ya Rabbal'alamiin 🤲🏻,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxL-DWPXsgu3jEN4wN4AaABAg,@israajrinbiahimo,Pak dokter gula darah saya pernah sampai 500,2,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxT_o6g5t71_EZDiuR4AaABAg,@trendGP,Kurma yg dipasaran itu prosesnya dicampur gula.,2,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzbEPiIteIcvxmHTwB4AaABAg,@umbupayuyolu1006,Minum rebusan kayu manis apa bisa diminum bersama dgn obat diebetes ko,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugw29TrjyT7IS3WSnth4AaABAg,@HernyHadi-h1h,Gula hrs stabil bkn turun karna akan juga masalah dlm tubuh,2,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzodjI2OfyR_4ZFCGF4AaABAg,@yenipurwati7140,Ada lambong bole makan pokat😊,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugw3bFAaZAkAyLIrDvt4AaABAg,@SyaifuddinUdin-t8s,Pak. Saya. Kena.diabetes.kadang.di.kaki.tersa.panas.apa.obatnya,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugz_Q_kSwVawAQP6X9J4AaABAg,@atatulkhuluq,"Aku pernah minum kayu manis,, Langsung perih karena ada asam lambung..",1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgyN1nU0AzOZv6Y_v8Z4AaABAg,@ruthiinong9286,"Pisang / kurma adalah manis  , apakah TDK bertentangan dengan Diabetes  ???",0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwBROtsqSRwRazg-wl4AaABAg,@tyanyanti3356,"Gula darah saya baru tes tadi 282 😢 lgi menyusui apakh bolh minum herbal sambiloto, atau info herbal yg aman donk buat ibu menyusui",1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwgwFQwge0oNgcdQiF4AaABAg,@BenditaDosSantos-o6l,Apakah Pare tidak menimbulkan asam urat Dok ?,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzVsRS8HnsgtVdIbIR4AaABAg,@linaherlina40,"Sya gula darah pernah 230.trus turun lgi190.naik trun,sesudah minum daun samiloto d cmpur dgn patrawali (sunda) alhamdulillah skr turun.96 kdg 120.kl sdh turun gl drah ny(puasa),d jeda minum rebusan ny yg mana shari hny minum1 mug besar, selanjut ny 2hari sx untuk menjga gl drh tdk naik",12,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugw3bFAaZAkAyLIrDvt4AaABAg.AFNCBAcwMSGAHlwQ0vt4Fd,@PedroPedro-kd1oy,Itu kakinya luka gak kak🙏,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzVsRS8HnsgtVdIbIR4AaABAg.AEuoBuA7ZK4AGNNYYHEh0i,@nurfilaelasari4979,Patrawalinya batangnya atau daunnya kak? Saya beli online,1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzVsRS8HnsgtVdIbIR4AaABAg.AEuoBuA7ZK4AIB4J_MNGSU,@MomoA-sy2vz,Patrawali ini sama dengan brotowali ya kak?,1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzVsRS8HnsgtVdIbIR4AaABAg.AEuoBuA7ZK4AH5SM6slaiT,@silviasyafrudin490,Samiloto sma bratawali takarannya brapa gram pak? Mhon pnjelasannya pak mksih,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzVsRS8HnsgtVdIbIR4AaABAg.AEuoBuA7ZK4AIejcDvML5p,@Ramawijaya-ce7ex,Adslmkm dokter apakah minum kayu manis bisa menyebabkan tangan jadi kebas kesemutan mohon dibalas,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzVsRS8HnsgtVdIbIR4AaABAg.AEuoBuA7ZK4ANe6yQLTGoG,@akunytb-g4s,mungkin sambiloto - brokowali,0,8 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzVsRS8HnsgtVdIbIR4AaABAg.AEuoBuA7ZK4ARGOqwG7_Q_,@khosidahida4365,"Kak,spil daunya sprti apa?",0,5 months ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugw0WYIHzOUACxzu0ZJ4AaABAg,@ZehanAlfarizizehan,Dok mau nanya kalo suntik insulin boleh gak minum rebusan kayu manus trimakasih dok,5,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzHe79qVVUQnDt7vth4AaABAg,@ZehanAlfarizizehan,Dok mau nanya kalo suntik insulin boleh gak minum rebusan kayu manus trimakasih dok,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgyNvcnpoRibV0-EROt4AaABAg,@aleaputri3975,"Rebus Kayu manis pake santan boleh gk Dok ,,,,,?",0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwbKRHxyK52JWuWvAJ4AaABAg,@AldoZebua-c7r,Puji tuhan gula darah suami saya 600 cuma minum rebusan daun seri+daun salam puji tuhan turun ke 200 ❤,21,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgyYxNOeaN9DphJJxcd4AaABAg,@TugihlahTugihlah,Dok emang boleh  minum kayu manis kalau pasien abis minum obat,1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwCQETKhGv3fib7sfx4AaABAg,@HanaAngel03,MasyaAllah dr agus.,1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugwix_4Rqnc5h3PclMx4AaABAg,@YuotubSaya-hs9kx,kalok pakek daun salam gimana dok,1,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwxOdun2rnHDH1QC3p4AaABAg,@ainulmustofa3614,Sy jg mandi jam 12mlm TPI blum sembuh jga,3,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgyNkjzjwobk-fRJqPh4AaABAg,@StHayani-cb3yw,"Sy zero carbo, ga mkn gula, tepung, jln cpt 3km, puasa if, puasa Senin kms 23 jam, mnm  air putih 1,5 L . Hasilnya hba1c sy normal, trigliserida normal, HDL naik , tensi normal",0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugxho-JgYlB8SAXge3x4AaABAg,@opppoaa631,Udah subscreeb y kk🙏,5,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgxBiMxTq6PuOhm8seh4AaABAg,@PutraPutra-n8r,Tolong sembuhkan namaku,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugx-ATH7m1qApjOUQGp4AaABAg,@PutraPutra-n8r,Ibuku,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugyx3hXY46axvFwP0Gp4AaABAg,@Ramakusumaningratrama,Klau Masih gelala gimana dok,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwTHFUXDE3lCTlT-OJ4AaABAg,@alfredwgp8884,Konsumsi brp lama dokter,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgzTWpoTBZMXFpS8Lgh4AaABAg,@danupnc1319,Doktor adik sy guls dara tapi ada lukanya tpi kok bengkak sudah 6 jam gk pipis gimana caranya doktor  makasi,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,UgwGuSFc2fPPaukBjAx4AaABAg,@HendraAprilius,Penyakit orang kaya,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugy02gAgU4SLtYxbjrt4AaABAg,@AgusBahari-v9z,Dimana saya bisa beli GLUCOACTIVE OBAT,0,1 year ago,2025-06-04
IZ_pnrknGYo,Ramuan Alami Penurun Gula Darah untuk Penderita Diabetes,Ugx9E1gnNwkX_m0KUn14AaABAg,@titutimoet,"pak dokter bapak saya penderita diabetes , jantung, syaraf terjepi, maag tapi skrg bapak saya lg batuk dan gatal di tenggorokan. mau tanya pak dokter ramuan apa yang harus sy berikan untuk bapak saya yang aman buat bapak saya ?",1,1 year ago,2025-06-04
