year_month,volume_score,sentiment_score,growth_score,engagement_score,ddai
2016-11,1.8281535648994518,14.049891016914628,10.0,4.854850031067578,30.73289461288166
2016-12,0.5118829981718465,13.930087446349008,3.9999999999999996,3.4967892163656895,21.938759660886546
2017-01,2.5594149908592323,13.924535591002874,20.0,3.161027433731759,39.644978015593864
2017-02,0.5850091407678245,13.79166832607846,2.285714285714286,3.563726702366843,20.226118454927413
2017-03,0.8775137111517367,13.625840634447464,11.86046511627907,3.14956939007914,29.513388851957412
2017-04,1.170018281535649,14.061990774379057,11.702127659574467,3.6755934780032042,30.60973019349238
2017-05,0.29250457038391225,13.803092430041387,5.2941176470588225,5.777104416384742,25.16681906386886
2017-06,0.0,13.625953576632906,7.948717948717949,3.229228801604397,24.80390032695525
2017-07,0.14625228519195613,13.470475974469572,11.142857142857144,4.086768050883366,28.84635345340204
2017-08,0.21937842778793418,13.838472579943506,10.54054054054054,6.270342447254683,30.868733995526664
2017-09,0.5118829981718465,13.92940373420715,12.10526315789474,3.186081354089548,29.732631244363287
2017-10,1.0968921389396709,13.654423052501679,13.80952380952381,3.1718822746675115,31.73272127563267
2017-11,9.140767824497258,13.922443444338441,20.0,4.364410361217284,47.42762163005298
2017-12,1.6087751371115175,13.697935278189808,0.0,3.391737895385285,18.69844831068661
2018-01,6.1425959780621575,14.272382236768072,20.0,5.645541532252414,46.060519747082644
2018-02,0.29250457038391225,14.152698831998384,0.0,4.510415359658081,18.955618762040377
2018-03,1.3162705667276051,14.034800016408338,17.179487179487182,5.462644506282211,37.993202268905335
2018-04,2.047531992687386,14.499804619789122,13.773584905660378,5.139101653543685,35.46002317168057
2018-05,0.29250457038391225,13.940187473700595,2.380952380952381,4.935056037390455,21.54870046242734
2018-06,0.5118829981718465,13.917434500796455,11.538461538461538,6.268818897908016,32.236597935337855
2018-07,1.8281535648994518,14.234639820623396,18.571428571428573,6.298851298161111,40.93307325511253
2018-08,1.3162705667276051,13.849470630951645,7.666666666666666,4.2633939266133245,27.095801790959243
2018-09,1.6087751371115175,14.054921242713927,11.509433962264152,6.31337211640841,33.48650245849801
2018-10,2.7787934186471666,14.546444763647365,15.6140350877193,5.337042233559018,38.276315503572846
2018-11,5.2650822669104205,14.207802490632211,19.31506849315069,4.2653882097845335,43.05334146047785
2018-12,1.170018281535649,13.840209302032696,0.0,5.615269168357163,20.625496751925507
2019-01,3.217550274223035,13.867891254702702,20.0,3.9123361631654925,40.99777769209123
2019-02,0.9506398537477149,14.071309118745,2.151898734177216,5.613592823685181,22.787440530355113
2019-03,3.1444241316270567,14.351239201527374,20.0,5.131366209358479,42.627029542512915
2019-04,3.510054844606947,14.00736375974747,11.282051282051283,4.031173850093596,32.8306437364993
2019-05,4.753199268738574,13.861951189055443,14.096385542168676,5.801451537744511,38.512987537707204
2019-06,2.5594149908592323,14.169866859565461,3.9999999999999996,6.613290934368859,27.342572784793553
2019-07,2.26691042047532,14.420174332293595,8.857142857142858,5.922156863399113,31.466384473310885
2019-08,3.5831809872029257,14.430955271211538,15.454545454545453,7.045715818886254,40.51439753184617
2019-09,2.8519195612431445,14.673965117744496,7.6190476190476195,4.359342008701531,29.504274306736793
2019-10,3.7294332723948815,13.702530909760053,13.243243243243242,5.673480782133485,36.348688207531666
2019-11,8.70201096892139,14.183170413650215,20.0,6.089350141460396,48.974531524031995
2019-12,4.16819012797075,13.960342283762019,1.9480519480519476,6.771256644502817,26.847841004287535
2020-01,3.5831809872029257,14.338624335194119,8.26086956521739,6.401265926534123,32.58394081414856
2020-02,5.557586837294333,14.336479537151954,16.428571428571427,7.895859986117687,44.2184977891354
2020-03,11.407678244972578,13.993766753975633,20.0,6.2331575860155,51.63460258496371
2020-04,6.581352833638026,13.988917167893495,3.089005235602093,6.1358965728297665,29.795171809963385
2020-05,6.727605118829982,13.918460023659506,10.32,6.387888437260978,37.35395357975047
2020-06,4.680073126142596,14.421356473474791,5.590551181102362,6.059667139245976,30.751647919965727
2020-07,6.581352833638026,14.782618074291229,15.252525252525253,6.662542963510191,43.279039123964694
2020-08,5.776965265082267,14.153460545628834,8.24,7.594045681887488,35.76447149259859
2020-09,5.996343692870202,14.048723329727466,10.526315789473687,6.068079090176894,36.63946190224825
2020-10,4.972577696526509,14.021669038198526,7.606837606837607,4.2745325559167044,30.875616897479347
2020-11,8.263254113345521,14.201675588420626,18.737864077669904,5.066037416316396,46.26883119575245
2020-12,3.217550274223035,14.123513165674769,0.6756756756756759,5.522066341363794,23.538805456937276
2021-01,3.6563071297989036,14.216597154619858,11.518987341772153,5.787619694362029,35.17951132055295
2021-02,2.7056672760511886,14.247188212413635,6.9411764705882355,5.56736301026753,29.46139496932059
2021-03,6.654478976234005,14.396442259164084,20.0,5.876131993528986,46.92705322892708
2021-04,4.2413162705667276,14.284980278953428,4.761904761904763,5.491062372252084,28.779263683677
2021-05,5.045703839122487,13.987687601020701,12.36559139784946,6.904003713785021,38.30298655177767
2021-06,7.897623400365632,14.428041482305193,17.5,6.005417282514756,45.83108216518558
2021-07,7.312614259597807,14.088288548547249,8.881118881118882,6.081710951975069,36.363732641239004
2021-08,4.16819012797075,14.34386967528526,3.6296296296296293,6.484856764761796,28.626546197647436
2021-09,2.998171846435101,14.09065345405905,6.521739130434783,5.596388776928103,29.206953207857033
2021-10,1.4625228519195614,13.822003691924701,4.473684210526317,5.824281690127062,25.582492444497642
2021-11,8.775137111517367,14.24862829698132,20.0,5.401498588501777,48.42526399700047
2021-12,2.4131627056672764,14.076868129727037,0.0,5.487942188473232,21.97797302386755
2022-01,3.1444241316270567,14.349185772547354,12.941176470588236,7.023777235139239,37.45856360990189
2022-02,3.0712979890310788,14.232403342575221,9.743589743589745,4.834975153835392,31.882266229031433
2022-03,3.7294332723948815,14.143649637406776,12.337662337662337,3.7618956457945005,33.97264089325849
2022-04,2.047531992687386,14.432522813342864,4.651162790697675,4.10139262737226,25.232610224100185
2022-05,2.340036563071298,14.046655516104913,11.26984126984127,5.597285142176556,33.25381849119404
2022-06,1.9012797074954297,13.77979218958245,8.208955223880597,5.091439162397747,28.981466283356227
2022-07,2.925045703839123,14.531913583597454,14.59016393442623,6.629453756282269,38.67657697814507
2022-08,3.5831809872029257,13.901097457153456,12.400000000000004,5.375395748958488,35.25967419331487
2022-09,9.43327239488117,14.162899036541216,20.0,5.294948245393541,48.891119676815926
2022-10,3.510054844606947,14.414418635276427,0.12195121951219506,4.177913938647197,22.224338638042767
2022-11,8.043875685557586,14.203915970667476,20.0,5.287205872460791,47.53499752868585
2022-12,2.7056672760511886,14.011827445622645,0.0,6.29441753885294,23.011912260526774
2023-01,5.776965265082267,14.193602356709933,20.0,5.244619812654653,45.215187434446854
2023-02,5.630712979890312,14.12643436069264,9.649122807017543,3.4835142149469274,32.889784362547424
2023-03,5.2650822669104205,14.128389119050212,9.10714285714286,4.801702450996817,33.30231669410031
2023-04,3.6563071297989036,14.044105542877741,5.88785046728972,3.9313374513207595,27.519600591287123
2023-05,3.217550274223035,13.825121679547467,8.588235294117649,5.898324820883898,31.529232068772046
2023-06,4.680073126142596,14.217445856267753,15.063291139240505,4.210408453066918,38.17121857471777
