source_id,username,date,content,platform,load_timestamp,data_source,content_hash
https://www.threads.com/@liaadjah1/post/DUqcND3Ergs?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,arifahft,2026-05-13 07:00:00+07:00,Diabetes bener-bener sejahat itu 😭💔,threads,2026-06-15 23:29:10.477375,threads,52427687e8e80cf573e9dc61e37adc47
https://www.threads.com/@liaadjah1/post/DUqcND3Ergs?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,ya.ti681,2026-05-08 07:00:00+07:00,"Yang sering cepat haus, gampang capek, dan tidur gak nyenyak… coba mulai waspada sama penyakit ini",threads,2026-06-15 23:29:10.477375,threads,1848989d6d8118610433ac7ffc18973a
https://www.threads.com/@liaadjah1/post/DUqcND3Ergs?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,kangkoribro,2026-02-06 07:00:00+07:00,d Yang peduli diabetes itu banyak kaga sih?,threads,2026-06-15 23:29:10.477375,threads,0784bcccc9782970aadbf24f02217725
https://www.threads.com/@liaadjah1/post/DUqcND3Ergs?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,pluviophile_rainloverlady,2026-05-11 07:00:00+07:00,Diabetes dianggap sesuatu yang mengerikan. Padahal...,threads,2026-06-15 23:29:10.477375,threads,db8f6033702e88821201ec1c9410b4cc
https://www.threads.com/@liaadjah1/post/DUqcND3Ergs?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,pigranz,2026-05-02 07:00:00+07:00,Ada yg ortunya pasien diabetes kah disini??? Yg udah jadi pasien selama berpuluh tahun... Mau sharing²nya dong guyssss,threads,2026-06-15 23:29:10.477375,threads,c11ac34560d98d0a8a8ccfa03a567431
https://www.threads.com/@anggitazhenk_/post/DUdG-AXEl7D?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,anggitazhenk_,2026-02-07 07:00:00+07:00,Gula darah tinggi itu cara cepat biar turun harus bagaimana yaaa 😌 khawatir banget jadi diabetes😌,threads,2026-06-15 23:29:10.477375,threads,d17dbfb12a0218cf6673abd25577c720
https://www.threads.com/@anggitazhenk_/post/DUdG-AXEl7D?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,ririn.rosilla,2026-02-10 07:00:00+07:00,"jurus andalanku adalah angkat beban kak, itu membantu bgt kontrol gula darah karena otot bisa menyerap glukosa. sama IF, ini juga bisa bantu buat turunin gula darah, kalo ga kuat nahan laper bisa minum diabetasol biar ga lemes, soalnya aku juga gampang lemes kalo nahan laper wkwk",threads,2026-06-15 23:29:10.477375,threads,a49bfaf6fa638a355d2c78f89c416f36
https://www.threads.com/@anggitazhenk_/post/DUdG-AXEl7D?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,anggitazhenk_,2026-02-10 07:00:00+07:00,mkasihh kaaa,threads,2026-06-15 23:29:10.477375,threads,80742459f64df9bc3b49d92931362fea
https://www.threads.com/@anggitazhenk_/post/DUdG-AXEl7D?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,ivanjonatahir,2026-02-07 07:00:00+07:00,"Stop konsumsi gula minimal hari, minum air putih yg banyak dan perbanyak aktifitas Kak. No coffee and tea yah… Pasti berdampak",threads,2026-06-15 23:29:10.477375,threads,fe34b90d405023e9a155ef7f744d0e6f
https://www.threads.com/@anggitazhenk_/post/DUdG-AXEl7D?xmt=AQG0AYqe7i-TF9XEeiQU3s7XutbgNRKypgefyRC0HXNcVA,anggitazhenk_,2026-02-07 07:00:00+07:00,siap kak. terimakasih,threads,2026-06-15 23:29:10.477375,threads,d127273aee94b4ab5896e2368e01ff4f
