date,diabetes,total_posts
2016-11-01,1.1609907120743035,60
2016-12-01,0.49810246679316883,42
2017-01-01,0.8301707779886148,70
2017-02-01,0.5646008403361344,43
2017-03-01,0.5574003795066413,47
2017-04-01,0.625,51
2017-05-01,0.4625237191650854,39
2017-06-01,0.42892156862745096,35
2017-07-01,0.4388045540796964,37
2017-08-01,0.45066413662239085,38
2017-09-01,0.5147058823529412,42
2017-10-01,0.5929791271347249,50
2017-11-01,1.9607843137254901,160
2017-12-01,0.6759962049335864,57
2018-01-01,1.4112903225806452,119
2018-02-01,0.5120798319327731,39
2018-03-01,0.6285578747628083,53
2018-04-01,0.7720588235294117,63
2018-05-01,0.4625237191650854,39
2018-06-01,0.5147058823529411,42
2018-07-01,0.7115749525616698,60
2018-08-01,0.6285578747628083,53
2018-09-01,0.698529411764706,57
2018-10-01,0.8657495256166983,73
2018-11-01,1.3112745098039216,107
2018-12-01,0.6048387096774194,51
2019-01-01,0.9369070208728653,79
2019-02-01,0.6302521008403362,48
2019-03-01,0.9250474383301708,78
2019-04-01,1.017156862745098,83
2019-05-01,1.1859582542694498,100
2019-06-01,0.8578431372549019,70
2019-07-01,0.7827324478178368,66
2019-08-01,0.9962049335863378,84
2019-09-01,0.9068627450980392,74
2019-10-01,1.0199240986717268,86
2019-11-01,1.8872549019607843,154
2019-12-01,1.0910815939278937,92
2020-01-01,0.9962049335863378,84
2020-02-01,1.4072008113590264,111
2020-03-01,2.265180265654649,191
2020-04-01,1.531862745098039,125
2020-05-01,1.506166982922201,127
2020-06-01,1.2132352941176472,99
2020-07-01,1.4824478178368121,125
2020-08-01,1.3519924098671727,114
2020-09-01,1.4338235294117647,117
2020-10-01,1.2215370018975331,103
2020-11-01,1.8137254901960782,148
2020-12-01,0.9369070208728653,79
2021-01-01,1.0080645161290323,85
2021-02-01,0.9453781512605043,72
2021-03-01,1.4943074003795065,126
2021-04-01,1.1397058823529411,93
2021-05-01,1.2333965844402277,104
2021-06-01,1.7524509803921569,143
2021-07-01,1.6010436432637571,135
2021-08-01,1.0910815939278937,92
2021-09-01,0.9313725490196079,76
2021-10-01,0.6522770398481973,55
2021-11-01,1.8995098039215685,155
2021-12-01,0.8064516129032258,68
2022-01-01,0.9250474383301708,78
2022-02-01,1.0110294117647058,77
2022-03-01,1.0199240986717268,86
2022-04-01,0.7720588235294117,63
2022-05-01,0.7945920303605313,67
2022-06-01,0.7475490196078431,61
2022-07-01,0.8894686907020873,75
2022-08-01,0.9962049335863378,84
2022-09-01,2.0098039215686274,164
2022-10-01,0.9843453510436433,83
2022-11-01,1.7769607843137256,145
2022-12-01,0.8538899430740038,72
2023-01-01,1.3519924098671727,114
2023-02-01,1.4705882352941178,112
2023-03-01,1.268975332068311,107
2023-04-01,1.0416666666666667,85
2023-05-01,0.9369070208728653,79
2023-06-01,1.2132352941176472,99
2023-07-01,0.9487666034155597,80
2023-08-01,1.1978178368121442,101
2023-09-01,0.821078431372549,67
2023-10-01,0.9962049335863378,84
2023-11-01,1.482843137254902,121
2023-12-01,1.0673624288425048,90
2024-01-01,0.7945920303605313,67
2024-02-01,1.0015212981744421,79
2024-03-01,1.4112903225806452,119
2024-04-01,1.7156862745098038,140
2024-05-01,1.7789373814041747,150
2024-06-01,1.017156862745098,83
2024-07-01,1.126660341555977,95
2024-08-01,1.6840607210626186,142
2024-09-01,1.5808823529411766,129
2024-10-01,2.336337760910816,197
2024-11-01,1.727941176470588,141
2024-12-01,1.4231499051233396,120
2025-01-01,1.245256166982922,105
2025-02-01,1.2211134453781514,93
2025-03-01,1.1266603415559773,95
2025-04-01,1.0661764705882353,87
2025-05-01,0.8657495256166983,73
2025-06-01,0.9558823529411764,78
2025-07-01,0.8538899430740038,72
2025-08-01,1.6129032258064515,136
2025-09-01,0.6862745098039215,56
2025-10-01,1.245256166982922,105
2025-11-01,1.2132352941176472,99
2025-12-01,0.5336812144212524,45
2026-01-01,1.3401328273244784,113
2026-02-01,7.641806722689076,582
2026-03-01,2.6802656546489567,226
2026-04-01,2.156862745098039,176
2026-05-01,2.265180265654649,191
2026-06-01,12.941176470588236,352
