year_month,avg_sentiment,sentiment_std,post_count
2016-11,-0.06334059887235816,0.10704431845769763,60
2016-12,-0.07132750357673283,0.07710051104787288,42
2017-01,-0.07169762726647513,0.06969731816731192,70
2017-02,-0.08055544492810272,0.0785764119557099,43
2017-03,-0.09161062437016913,0.069444680399759,47
2017-04,-0.06253394837472953,0.08104295627312959,51
2017-05,-0.07979383799724091,0.12737905413215672,39
2017-06,-0.09160309489113944,0.07120108633627509,35
2017-07,-0.10196826836869524,0.09010892157369174,37
2017-08,-0.07743516133709957,0.1382544320560922,38
2017-09,-0.07137308438618979,0.07024973066455299,42
2017-10,-0.08970512983322143,0.06993665595169221,50
2017-11,-0.07183710371077061,0.0962306414403257,160
2017-12,-0.08680431478734603,0.07478424031129662,57
2018-01,-0.04850785088212837,0.12447823141340074,119
2018-02,-0.05648674453344101,0.0994498975346433,39
2018-03,-0.06434666557277738,0.12044554505488617,53
2018-04,-0.0333463586807251,0.11331176668034823,63
2018-05,-0.07065416841996022,0.10881277623252165,39
2018-06,-0.07217103328023639,0.13822083940124041,42
2018-07,-0.05102401195844015,0.13888302212494333,60
2018-08,-0.07670195793655683,0.0940033356891675,53
2018-09,-0.06300525048573812,0.1392031908392771,57
2018-10,-0.030237015756842213,0.11767614752574447,73
2018-11,-0.052813167291185875,0.09404730752794882,107
2018-12,-0.07731937986448699,0.12381075774469134,51
2019-01,-0.07547391635315329,0.0862628825779324,79
2019-02,-0.06191272541699988,0.1237737961142055,48
2019-03,-0.04325071989817497,0.11314120830151592,78
2019-04,-0.06617574935016862,0.0888831281309162,83
2019-05,-0.07586992072963715,0.12791588245758087,100
2019-06,-0.05534220936230251,0.1458160841842348,70
2019-07,-0.038655044513760194,0.13057730747302465,66
2019-08,-0.037936315252564176,0.15535059642479815,84
2019-09,-0.02173565881703352,0.0961188896174516,74
2019-10,-0.08649793934932974,0.12509426238090743,86
2019-11,-0.05445530575665239,0.1342637427668545,154
2019-12,-0.06931051441586536,0.1492990613457883,92
2020-01,-0.04409171098705863,0.14114115657279086,84
2020-02,-0.044234697523202984,0.17409537790923552,111
2020-03,-0.06708221640162444,0.13743454511770675,191
2020-04,-0.06740552214043358,0.13529004244463808,125
2020-05,-0.07210266508936626,0.14084619705545146,127
2020-06,-0.03857623510168056,0.13360926390108357,99
2020-07,-0.014492128380584718,0.1469020394368903,125
2020-08,-0.056435963624744324,0.16744069109288467,114
2020-09,-0.06341844468483558,0.13379473853954565,117
2020-10,-0.06522206412009823,0.09424893070749002,103
2020-11,-0.0532216274386249,0.11170077737530747,148
2020-12,-0.058432455621682054,0.12175573379338672,79
2021-01,-0.05222685635867604,0.12761090491174185,85
2021-02,-0.050187452505757575,0.12275447752803884,72
2021-03,-0.04023718272239443,0.1295625076757447,126
2021-04,-0.04766798140310472,0.12107212900192899,93
2021-05,-0.06748749326528648,0.152225994097086,104
2021-06,-0.038130567846320455,0.13241311182572396,143
2021-07,-0.060780763430183314,0.13409530670254904,135
2021-08,-0.04374202164764932,0.1429842463181236,92
2021-09,-0.06062310306273009,0.12339446504361817,76
2021-10,-0.07853308720501986,0.12841926321835345,55
2021-11,-0.05009144686791205,0.11909734211279908,155
2021-12,-0.06154212468486418,0.12100333224323764,68
