date,sentiment,volume
2016-11-30 00:00:00+07:00,0.010792897727272726,60
2016-12-31 00:00:00+07:00,-0.009781249999999998,42
2017-01-31 00:00:00+07:00,0.0017482142857142859,70
2017-02-28 00:00:00+07:00,-0.00723110465116279,43
2017-03-31 00:00:00+07:00,-0.008624999999999999,47
2017-04-30 00:00:00+07:00,0.005484068627450979,51
2017-05-31 00:00:00+07:00,0.013248397435897435,39
2017-06-30 00:00:00+07:00,-0.008982142857142855,35
2017-07-31 00:00:00+07:00,-0.03748310810810811,37
2017-08-31 00:00:00+07:00,0.004370065789473685,38
2017-09-30 00:00:00+07:00,-0.0037946428571428567,42
2017-10-31 00:00:00+07:00,-0.011524999999999999,50
2017-11-30 00:00:00+07:00,0.007039453125,160
2017-12-31 00:00:00+07:00,-0.020063596491228068,57
2018-01-31 00:00:00+07:00,0.01581159963985594,119
2018-02-28 00:00:00+07:00,0.036673076923076926,39
2018-03-31 00:00:00+07:00,0.029757187780772684,53
2018-04-30 00:00:00+07:00,0.03597321428571428,63
2018-05-31 00:00:00+07:00,-0.021775641025641026,39
2018-06-30 00:00:00+07:00,-0.01311383928571428,42
2018-07-31 00:00:00+07:00,0.026655208333333333,60
2018-08-31 00:00:00+07:00,-0.009941037735849057,53
2018-09-30 00:00:00+07:00,0.013538377192982457,57
2018-10-31 00:00:00+07:00,0.04532106164383561,73
2018-11-30 00:00:00+07:00,0.015949288445199657,107
2018-12-31 00:00:00+07:00,-0.013274509803921567,51
2019-01-31 00:00:00+07:00,-0.0010925632911392396,79
2019-02-28 00:00:00+07:00,-0.00266690340909091,48
2019-03-31 00:00:00+07:00,0.005998397435897436,78
2019-04-30 00:00:00+07:00,-0.0029623493975903608,83
2019-05-31 00:00:00+07:00,-0.010092499999999997,100
2019-06-30 00:00:00+07:00,0.01240267857142857,70
2019-07-31 00:00:00+07:00,0.02255492424242424,66
2019-08-31 00:00:00+07:00,0.029241206709956707,84
2019-09-30 00:00:00+07:00,0.05414611486486486,74
2019-10-31 00:00:00+07:00,-0.012094476744186046,86
2019-11-30 00:00:00+07:00,0.01421227230561646,154
2019-12-31 00:00:00+07:00,-0.012254755434782607,92
2020-01-31 00:00:00+07:00,0.030761692176870747,84
2020-02-29 00:00:00+07:00,0.017166666666666667,111
2020-03-31 00:00:00+07:00,-0.0002850130890052357,191
2020-04-30 00:00:00+07:00,-0.00530490909090909,125
2020-05-31 00:00:00+07:00,-0.014954634931997135,127
2020-06-30 00:00:00+07:00,0.025767045454545452,99
2020-07-31 00:00:00+07:00,0.053439,125
2020-08-31 00:00:00+07:00,0.012145933014354064,114
2020-09-30 00:00:00+07:00,0.0027451923076923066,117
2020-10-31 00:00:00+07:00,0.007096480582524271,103
2020-11-30 00:00:00+07:00,0.01765594287469287,148
2020-12-31 00:00:00+07:00,0.002985903337169161,79
2021-01-31 00:00:00+07:00,0.013362967914438502,85
2021-02-28 00:00:00+07:00,0.03784503141534392,72
2021-03-31 00:00:00+07:00,0.021734623015873016,126
2021-04-30 00:00:00+07:00,0.0257002688172043,93
2021-05-31 00:00:00+07:00,0.004080328525641024,104
2021-06-30 00:00:00+07:00,0.030412296037296036,143
2021-07-31 00:00:00+07:00,-0.003956172839506171,135
2021-08-31 00:00:00+07:00,0.032589797430830035,92
2021-09-30 00:00:00+07:00,0.00025164473684210456,76
2021-10-31 00:00:00+07:00,-0.019538636363636362,55
2021-11-30 00:00:00+07:00,0.018509274193548385,155
2021-12-31 00:00:00+07:00,-0.0014105113636363623,68
2022-01-31 00:00:00+07:00,0.02595833333333333,78
2022-02-28 00:00:00+07:00,0.01622483766233766,77
2022-03-31 00:00:00+07:00,0.003941265856236786,86
2022-04-30 00:00:00+07:00,0.013777777777777778,63
2022-05-31 00:00:00+07:00,0.0008376865671641819,67
2022-06-30 00:00:00+07:00,-0.021329918032786884,61
2022-07-31 00:00:00+07:00,0.03621238095238095,75
2022-08-31 00:00:00+07:00,-0.014244791666666666,84
2022-09-30 00:00:00+07:00,0.014473704268292682,164
2022-10-31 00:00:00+07:00,0.005719879518072288,83
2022-11-30 00:00:00+07:00,0.009789224137931034,145
2022-12-31 00:00:00+07:00,-0.0014456281565656576,72
2023-01-31 00:00:00+07:00,0.008463815789473684,114
2023-02-28 00:00:00+07:00,-0.004940188717532468,112
2023-03-31 00:00:00+07:00,0.00626518691588785,107
2023-04-30 00:00:00+07:00,0.008162605042016805,85
2023-05-31 00:00:00+07:00,-0.007820411392405061,79
2023-06-30 00:00:00+07:00,0.0037821969696969697,99
2023-07-31 00:00:00+07:00,0.025378125,80
2023-08-31 00:00:00+07:00,0.008834158415841583,101
2023-09-30 00:00:00+07:00,-0.010906546811397558,67
2023-10-31 00:00:00+07:00,0.0078066829004329015,84
2023-11-30 00:00:00+07:00,0.015211206149222677,121
2023-12-31 00:00:00+07:00,0.020442361111111113,90
2024-01-31 00:00:00+07:00,-0.0050123943220958134,67
2024-02-29 00:00:00+07:00,-0.0012303533755274275,79
2024-03-31 00:00:00+07:00,0.08021068427370949,119
2024-04-30 00:00:00+07:00,0.04203216314935065,140
2024-05-31 00:00:00+07:00,0.04271500541125541,150
2024-06-30 00:00:00+07:00,0.07806884681583477,83
2024-07-31 00:00:00+07:00,0.05103552204374573,95
2024-08-31 00:00:00+07:00,0.026343109795134444,142
2024-09-30 00:00:00+07:00,0.027773505402865866,129
2024-10-31 00:00:00+07:00,0.047453975143933895,197
2024-11-30 00:00:00+07:00,0.04924196754781861,141
2024-12-31 00:00:00+07:00,0.03964404230442176,120
2025-01-31 00:00:00+07:00,0.03129970238095238,105
2025-02-28 00:00:00+07:00,0.0930790290578597,93
2025-03-31 00:00:00+07:00,0.09177607655502393,95
2025-04-30 00:00:00+07:00,0.024230808702791456,87
2025-05-31 00:00:00+07:00,0.040577910958904104,73
2025-06-30 00:00:00+07:00,0.015655582264957262,78
2025-07-31 00:00:00+07:00,0.05608101851851851,72
2025-08-31 00:00:00+07:00,0.008887867647058822,136
2025-09-30 00:00:00+07:00,0.05294419642857142,56
2025-10-31 00:00:00+07:00,-0.003908333333333334,105
2025-11-30 00:00:00+07:00,0.03937545093795094,99
2025-12-31 00:00:00+07:00,-0.020153577441077437,45
2026-01-31 00:00:00+07:00,0.03945353982300885,113
2026-02-28 00:00:00+07:00,0.0375021880618461,582
2026-03-31 00:00:00+07:00,0.003105599691606331,226
2026-04-30 00:00:00+07:00,0.016992327393250687,176
2026-05-31 00:00:00+07:00,0.003730158257972393,191
2026-06-30 00:00:00+07:00,0.02779991883116883,352
