conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2008388936666915218,2026-01-06 17:37:33+00:00,,@mochienyol @Emon_ikaD @SleepyInsomns @Shinyubyy @afrkml hooh melek. https://t.co/xwrH1ouEyn,,,,,,,,,https://x.com/undefined/status/2008593794703520124,,
2008388936666915218,2026-01-06 17:40:24+00:00,,@Emon_ikaD @SleepyInsomns @Shinyubyy @afrkml di indo prevalensi diabetes melonjak menjadi sekitar 11 7% naik dibanding tahun 2022. Angka ini menunjukkan tren meningkatnya penyakit yang erat hubungannya dengan konsumsi gula dan obesitas itu akibat orang orang kaya elu yg merasa bisa kontrol gula nyatanya bego,,,,,,,,,https://x.com/undefined/status/2008594514903187670,,
2008597964445589929,2026-01-06 17:54:07+00:00,,Senyumnya bikin diabetes ,,,,,,,,,https://x.com/undefined/status/2008597964445589929,,
2008601032616808776,2026-01-06 18:06:18+00:00,,Sewajarnya pasangan tu ada manis asemnya lah dua bucin ini manis terus apa kagak diabetes ni kita2 https://t.co/usc7MiLnlT,,,,,,,,,https://x.com/undefined/status/2008601032616808776,,
2008605424283685034,2026-01-06 18:23:45+00:00,,Mau coba yang lain sayangnya diriku keturunan diabetes...,,,,,,,,,https://x.com/undefined/status/2008605424283685034,,
2008388936666915218,2026-01-06 18:26:50+00:00,,@tomidepth @SleepyInsomns @Shinyubyy @afrkml Oiya Tambahan data ya perokok beresiko 30-40% lebih tinggi kena diabetes dripd non-perokok Jdi meskipun menjaga gula darah klo ngerokok ya ngerusak organ tubuh juga + lebih susah ngatasinnya Plus penyebab diabetes tuh bukan krn konsumsi gula berlebih doang,,,,,,,,,https://x.com/undefined/status/2008606196551610450,,
2008390462332395923,2026-01-06 18:31:07+00:00,,@Bargchan @bmysana takut ct nya diabetes ,,,,,,,,,https://x.com/undefined/status/2008607275787980899,,
2008621982024429878,2026-01-06 19:29:33+00:00,,diabetes: assalamualaikum,,,,,,,,,https://x.com/undefined/status/2008621982024429878,,
2008632037041733922,2026-01-06 20:09:30+00:00,,Sudah mengecil krn kebanyakan jumping alhamdulillah no diabetes,,,,,,,,,https://x.com/undefined/status/2008632037041733922,,
2008632815559090387,2026-01-06 20:12:36+00:00,,Kamu kenapa manis banget ? Kamu mau bikin aku diabetes ? @kasibook #kasibook https://t.co/u7yIQPOegR,,,,,,,,,https://x.com/undefined/status/2008632815559090387,,
2008383167531806765,2026-01-06 21:07:20+00:00,,@dyahNeZza Tetap ja ga ada nilai gizinya makanan kering begitu apalagi ultra processed food malah bikin diabetes dan penyakit jantung. Kamu sebagai orang tua itu mikir ga sih hal begituan programnya tertulis makan bergizi. Hal begini di share seolah SPPG kerja bener padahal nol besar.,,,,,,,,,https://x.com/undefined/status/2008646589418758423,,
2008647143192768864,2026-01-06 21:12:06+00:00,,Nek aktivitasmu gak banyak bergerak dan butuh energi banyak sebaiknya dihindari. Aktivitas butuh energi banyak pun sebaiknya jangan dibiasakan. Tukang otot badannya luar biasa bagus di usia 64 tahun aja masih bisa kena diabetes tipe dua. Apalagi kalau mageran.,,,,,,,,,https://x.com/undefined/status/2008647790914936890,,
2008687587788276013,2026-01-06 23:50:15+00:00,,Diabetes yang nabubulok ang laman kinakain ngauon at yan ay meat ,,,,,,,,,https://x.com/undefined/status/2008687587788276013,,
2008917716862955886,2026-01-07 15:04:42+00:00,,dah mendingan setelah ditemani 2 gelas suweger (welcme diabetes) dan 1 box tahu poongg makasi ayah sudah mensponsori sesi curhat anak emak malem ini,,,,,,,,,https://x.com/undefined/status/2008917716862955886,,
2008919890590388465,2026-01-07 15:13:20+00:00,,Temukan CUKAKAMU Kurma 2 Botol - Atasi Diabetes Kontrol Gula Darah Koleterol Tanpa Efek Samping seharga Rp150.000. Dapatkan sekarang juga di Shopee! Pandji Tompi Stand up Rabu https://t.co/O9OwNoYThX,,,,,,,,,https://x.com/undefined/status/2008919890590388465,,
2008921482936922547,2026-01-07 15:19:40+00:00,,Ngikutin mereka bawaannya diabetes mulu Manis banget ya ampun ,,,,,,,,,https://x.com/undefined/status/2008921482936922547,,
2002229081807659413,2026-01-07 15:27:18+00:00,,@flvffydoll jelas udah dong ampe takut diabetes kakak sibuk kerja biar taun baru bisa makan nih wkwkw msh rindu taak? https://t.co/NHexacccsI,,,,,,,,,https://x.com/undefined/status/2008923403970126263,,
2008719475475173677,2026-01-07 15:38:07+00:00,,@itsurboihyl Ada sekitar 100rb an korban meninggal karena covid sejak tahun 2019-2024. Yg klo dibagi menjadi sekitar 20rb an per tahun. Lebih sedikit dibanding karena rokok diabetes kanker dsb. Jgn bilang yg diluar negeri karna oppung juga ,,,,,,,,,https://x.com/undefined/status/2008926128610902211,,
2008927003504947583,2026-01-07 15:41:36+00:00,,Klo gw diabetes salahin mereka yahh guyss soal senyuman mereka manis bgtt kya gulaa,,,,,,,,,https://x.com/undefined/status/2008927003504947583,,
2008943370723577999,2026-01-07 16:47:46+00:00,,@1210rio94 Saya bukan dokter sungguhan tapi berdasarkan sumber medis seperti Alodokter dan Mayo Clinic kaki kebas yang tak kunjung hilang bisa disebabkan oleh diabetes (neuropati diabetik) kekurangan vitamin B12 saraf terjepit hipotiroid gagal ginjal infeksi seperti lepra atau efek,,,,,,,,,https://x.com/undefined/status/2008943657219506570,,
2008945946944811320,2026-01-07 16:56:52+00:00,,Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Bundling 3 Botol - BPOM Kapsul Ikan Gabus/ Ikan Kutuk Isi 60 Ekstrak Albumin/ Luka Diabetes &amp; Pasca Operasi Harga Produk: Rp385.000 Harga Diskon: Rp299.000 https://t.co/sWyGU8UkcB,,,,,,,,,https://x.com/undefined/status/2008945946944811320,,
2008946306224714135,2026-01-07 16:58:18+00:00,,Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Bundling 3 Botol - BPOM Kapsul Ikan Gabus/ Ikan Kutuk Isi 60 Ekstrak Albumin/ Luka Diabetes &amp; Pasca Operasi Harga Produk: Rp385.000 Harga Diskon: Rp299.000 https://t.co/sWyGU8UkcB https://t.co/vC246w3BlI,,,,,,,,,https://x.com/undefined/status/2008946306224714135,,
2008949666340385259,2026-01-07 17:11:39+00:00,,Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: yochanna kapsul kutuk ekstrak ikan gabus albumin obat herbal pasca operasi caesar / luka bakar / luka kecelakaan / luka diabetes Harga Produk: Rp180.000 Harga Diskon: Rp150.000 https://t.co/jMkT0LExOM https://t.co/ItvFKY8R6v,,,,,,,,,https://x.com/undefined/status/2008949666340385259,,
2008949860251349013,2026-01-07 17:12:25+00:00,,Yuk coba lihat! Nama Produk: Yochanna kapsul kutuk paket 2 botol ekstrak ikan gabus albumin obat herbal pasca operasi caesar / luka bakar / luka kecelakaan / luka diabetes Harga Produk: Rp300.000 Harga Diskon: Rp275.000 https://t.co/bvvUMgpqyb https://t.co/Ga4xXd2YOX,,,,,,,,,https://x.com/undefined/status/2008949860251349013,,
2008952964632002785,2026-01-07 17:24:45+00:00,,rewatch cherry magic 3x dalam seminggu bisa bikin diabetes gk yhh,,,,,,,,,https://x.com/undefined/status/2008952964632002785,,
2008424279277473869,2026-01-07 17:36:19+00:00,,@mayrenmarker @mzfn99 @ruki_yahea Plis kawan kawan jangan begituuu bisa kena diabetes nanti,,,,,,,,,https://x.com/undefined/status/2008955872928780461,,
2008964648381608029,2026-01-07 18:11:11+00:00,,ISHHHH APALAH GEMES BANGET WOIIII DIABETES NIHHHH ,,,,,,,,,https://x.com/undefined/status/2008964648381608029,,
2008961892799422632,2026-01-07 18:38:27+00:00,,Seakan bayar tempat saking paniknya orang pasti bakal minum terus habis deh kan. Padahal asar setengah waktu lagi malah pesan minum lagi. Diabetes diabetes deh tuh. Mulai kepikiran orang itu sedang (sudah?) berada di mal ini. Aku pun malah gak lama menyeruput minuman keduaku.,,,,,,,,,https://x.com/undefined/status/2008971509583499335,,
2007278182236598788,2026-01-07 20:32:19+00:00,,@geewonrii Aduh jadi enak banget pokoknya kalo kamu pasti dapat sweet juga. No no kebanyakan gula aku takut diabetes karena kita nya aja udah manis kan? Hikssrot bareng yuk dipojokan. Karena kita sehati kan my twins jadi saling merasakan rasa terharu. ,,,,,,,,,https://x.com/undefined/status/2009000163831144572,,
2008885770522935604,2026-01-07 21:14:40+00:00,,@sopenhauer011 Diabetes tip 2 u najavi jbt ne verujem,,,,,,,,,https://x.com/undefined/status/2009010822698381326,,
2009029143158214821,2026-01-07 22:27:28+00:00,,Aduh jangan ya dek ya PTM gabisa sembuh. Cuma bisa dikendalikan biar stabil gak tambah parah ga nambah komplikasi *PTM : penyakit tidak menular mostly ggr gaya hidup acakadut. Eg: diabetes hipertensi asam urat ....,,,,,,,,,https://x.com/undefined/status/2009029143158214821,,
2009031050203419141,2026-01-07 22:35:03+00:00,,ini kalo digigit langsung diabetes https://t.co/HtmMKJDcgE,,,,,,,,,https://x.com/undefined/status/2009031050203419141,,
2009279737605046478,2026-01-08 15:03:19+00:00,,31. @mjohnnysvh 32. Semuanya bisalah ya 33. @pahlawhn 34. @mjohnnysvh 35. @C2HANYEOL 36. Angkat beban 37. kemampuan tubuh atau sendi untuk bergerak secara maksimal tanpa rasa sakit. 38. Obesitas diabetes dan penyakit jantung &amp; stroke,,,,,,,,,https://x.com/undefined/status/2009279759331521007,,
2009283111742320968,2026-01-08 15:16:39+00:00,,Best gift graduation yg pernah aku liat sejauh ini yim bawakin bunga yg banyak nya kayak panen sekebon terniat~~ Trus 1 buket gede nya d bagiin k fans 1 nya d bawa tor pulang .. Ooowww diabetes ,,,,,,,,,https://x.com/undefined/status/2009283111742320968,,
2009114121766162709,2026-01-08 15:32:22+00:00,,@tanyakanrl diabetes apa bukan ya? coba cek gula darah,,,,,,,,,https://x.com/undefined/status/2009287067860176967,,
2009283966851752232,2026-01-08 15:38:03+00:00,, Empat bahan lain yang kemudian mudah didapat antara lain; jagung margarin susu kental manis parutan keju. Simsalabim. Campur semua dengan susu dalam satu gelas. Selamat datang diabetes. https://t.co/JYQgxZem6V,,,,,,,,,https://x.com/undefined/status/2009288497455050836,,
2009288952268702129,2026-01-08 15:39:51+00:00,,diabetes : assalamualaikum,,,,,,,,,https://x.com/undefined/status/2009288952268702129,,
2009249947162730691,2026-01-08 16:02:08+00:00,,@fallenangels81 @DokterTifa Ptosis (kelopak mata turun) bisa disebabkan oleh: - Faktor bawaan (kongenital) sejak lahir. - Penuaan alami yang melemahkan otot. - Cedera atau trauma pada mata. - Kerusakan saraf/otot seperti dari stroke atau Horner syndrome. - Penyakit seperti diabetes myasthenia gravis ,,,,,,,,,https://x.com/undefined/status/2009294558576705962,,
2009301855952671165,2026-01-08 16:31:08+00:00,,Di warung madura deket rumahku banyakk yukkkk yupi date sampe diabetes,,,,,,,,,https://x.com/undefined/status/2009301855952671165,,
2009304101075526136,2026-01-08 16:45:02+00:00,,@haazarian4242 Dr log bhi degree ko bhari bharkam dikhaney k liye ghalat biyani kerty hain .. FCP endocrinology hain tu wo hi likhty .. diabetes tu isi k ander ati hy alag sy koi especiality nahi hy .,,,,,,,,,https://x.com/undefined/status/2009305356405756025,,
2009306456613638374,2026-01-08 16:50:19+00:00,,WHO menyatakan kurang gerak meningkatkan risiko terkena berbagai penyakit seperti peradangan penyakit jantung stroke diabetes dementia kanker payudara dan kanker usus. Risiko ini meningkat jika kurang gerak ditambah dengan kebiasaan buruk makan berlebihan. Para ahli,,,,,,,,,https://x.com/undefined/status/2009306685891072054,,
2009158436429435222,2026-01-08 16:57:47+00:00,,36. angkat beban 37. kemampuan tubuh atau sendi untuk bergerak secara maksimal tanpa rasa sakit. 38. obesitas diabetes dan penyakit jantung &amp; stroke 39. menghindari cedera otot 40. renang 41. @tehavce 42. @girlsjeongies 43. @vcanilIa 44. @ntingyie 45. @zhuoninx,,,,,,,,,https://x.com/undefined/status/2009308563324457171,,
2009311411265261682,2026-01-08 17:09:06+00:00,,Nenek gw punya art dri jaman ngurus bapak gw sampe ngurus gw pas bayi - kls 4sd (pensiun). Pas udh tua ternyata dia diabetes nenek ku ttp mau ngurus &amp; biayain obat sakit nya. Skrng udh meninggal Emak emin emang bnr kyk nenek gw,,,,,,,,,https://x.com/undefined/status/2009311411265261682,,
2008760201642668514,2026-01-08 17:30:55+00:00,,@varshachaa_ Diabetes nanti aku yg ada ,,,,,,,,,https://x.com/undefined/status/2009316902469005321,,
2009344598502723628,2026-01-08 19:20:58+00:00,,diabetes gue lama lama kalo liat seonghyeon,,,,,,,,,https://x.com/undefined/status/2009344598502723628,,
2009363790673137992,2026-01-08 20:38:06+00:00,,@cewekmapan Manfaat berjalan 10.000 langkah/hari berdasarkan studi seperti JAMA &amp; NIH: - Tingkatkan kesehatan jantung kurangi risiko penyakit kardiovaskular &amp; stroke. - Turunkan risiko demensia hingga 50% &amp; kanker (13 jenis). - Bantu kelola berat badan &amp; cegah diabetes tipe 2. - Kurangi,,,,,,,,,https://x.com/undefined/status/2009364008059445472,,
2009363790673137992,2026-01-08 20:41:12+00:00,,@cewekmapan Diabetes utama ada 3 tipe utama: - Tipe 1: Autoimun tubuh tak produksi insulin (biasa pada anak/remaja). - Tipe 2: Resistensi insulin sering karena gaya hidup/obesitas (pada dewasa). - Gestasional: Saat hamil biasanya hilang setelah melahirkan. Lainnya seperti tipe 3c,,,,,,,,,https://x.com/undefined/status/2009364790209044539,,
2009363790673137992,2026-01-08 20:47:00+00:00,,@cewekmapan Ya 10k langkah/hari sangat bagus buat usia 30an! Berdasarkan studi JAMA &amp; NIH bisa kurangi risiko penyakit jantung diabetes demensia &amp; kanker hingga 40-50%. Juga bantu jaga berat badan tingkatkan mood &amp; energi. Untuk dewasa &lt;60 thn manfaat optimal di 8-10k langkah. Mulai,,,,,,,,,https://x.com/undefined/status/2009366248119836763,,
2009113545494155343,2026-01-08 21:05:51+00:00,,@afrkml seperti yg dulu2 ada di twitter klo lu umur 30 blom punya otot elu berisiko diabetes ya benar. bahkan klo org ideal atau kurus sekalipun tubuhnya bisa ga peduli soal gula skrg bnyak yg gila motor-mobil ditambah penyakit suka belanja onlen. dikit yg jalan kaki ke jarak 1km,,,,,,,,,https://x.com/undefined/status/2009370990548275344,,
2009381197235843082,2026-01-08 21:46:24+00:00,,Gula darah naik itu nggak selalu karena makanan manis. Kadang kebiasaan kecil yang sepele justru punya pengaruh besar ke lonjakan gula darah. Lifestyle modification is a key component in improving glycemic control. American Diabetes Association (PMID: 30796169). https://t.co/8eAB95jgOt,,,,,,,,,https://x.com/undefined/status/2009381197235843082,,
2008459041862021354,2026-01-08 22:48:35+00:00,,38. Meningkatkan resiko penyakit obesitas diabetes tipe 2 penyakit jantung &amp; hipertensi 39. Mempersiapkan tubuh meningkatkan kelenturan melancarkan sirkulasi darah dan mencegah cedera 40. Kardio atau aerobik seperti jogging bersepeda berenang jalan cepat,,,,,,,,,https://x.com/undefined/status/2009396846402392335,,
2009622353760907303,2026-01-09 13:44:40+00:00,,ni vampir kalo makan gua diabetes ga ya kira kira secara gue manis gada lawan https://t.co/GeHxcyltCH,,,,,,,,,https://x.com/undefined/status/2009622353760907303,,
